的 de5  "白 bai2, 勺 shao2, 日 ri4, 囗 wei2" 0 "有的 似的 目的 别的" "的 de5 of; (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis)
有的 you3de5 (there are) some (who are...); some (exist)
似的 shi4de5 seems as if; rather like
目的 mu4di4 purpose; aim; goal; target; objective
诬蔑 wu1mie4 to slander; to smear; to vilify
诬陷 wu1xian4 to entrap; to frame; to plant false evidence against sb
诬告 wu1gao4 to frame sb; to accuse falsely"
唬 hu3 浒虎琥 "口 kou3, 虎 hu3, 虍 hu1, 儿 er2, 七 qi1" 3031 "吓唬 唬人" "唬 hu3 a tiger's roar; to scare; to intimidate; (coll.) to fool; to bluff
吓唬 xia4hu5 to scare; to frighten
唬人 hu3ren2 to scare people; to bluff; to deceive"
囡 nan1  "囗 wei2, 女 nü3" 3032 囡囡 "囡 nan1 child; daughter
囡囡 nan1nan1 little darling; baby"
槛 jian4 饯践谏楗剑荐毽件 "木 mu4, 监 jian1, 十 shi2, 皿 min3" 3033 门槛 "槛 jian4 banister; balustrade; cage for animal or prisoner; to transport caged prisoner on a cart
门槛 men2kan3 doorstep; sill; threshold; fig. knack or trick (esp. scheme to get sth cheaper)"
吮 shun3 楯 "口 kou3, 允 yun3, 儿 er2" 3034 "吮吸 吸吮" "吮 shun3 to suck
吮吸 shun3xi1 to suck
吸吮 xi1shun3 to suck on (sth); to suck in"
辩 bian4 遍辨昪弁变便卞辫 "辛 xin1, 立 li4, 十 shi2" 3035 "辩论 辩护 辩解 答辩" "辩 bian4 to dispute; to debate; to argue; to discuss
辩论 bian4lun4 debate; argument; to argue over
辩护 bian4hu4 to speak in defense of; to argue in favor of; to defend; to plead
辩解 bian4jie3 to explain; to justify; to defend (a point of view etc); to provide an explanation; to try to defend oneself
答辩 da2bian4 to reply (to an accusation); to defend one's dissertation"
芋 yu4 矞鹬玉遇浴煜毓阈 "于 yu2, 十 shi2" 3036 "芋头 山芋 洋芋" "芋 yu4 taro; colocasia antiquorum; colocasia esculenta
芋头 yu4tou5 taro
山芋 shan1yu4 sweet potato
洋芋 yang2yu4 (dialect) potato"
腹 fu4 阜馥缚傅蝮父赙咐 "月 yue4, 复 fu4, 日 ri4, 囗 wei2" 3037 "腹部 小腹 腹泻 满腹" "腹 fu4 abdomen; stomach; belly
腹部 fu4bu4 abdomen; belly; flank
小腹 xiao3fu4 underbelly; lower abdomen
腹泻 fu4xie4 diarrhea; to have the runs
满腹 man3fu4 filled with; preoccupied with"
娩 mian3 腼渑𩾃沔湎偭免愐 "女 nü3, 免 mian3, 口 kou3" 3038 分娩 "娩 mian3 to give birth to a child
分娩 fen1mian3 labor; parturition; delivery"
伺 ci4 莿次刺佽赐 "司 si1, 口 kou3" 3039 伺机 "伺 ci4 to wait on
伺机 si4ji1 to wait for an opportunity; to watch for one's chance"
讫 qi4 气汔憩迄泣葺器碶 "乞 qi3" 3040  "讫 qi4 finished"
凳 deng4 嶝磴邓瞪镫 "登 deng1, 几 ji3, 豆 dou4, 口 kou3" 3041 "凳子 板凳 长凳" "凳 deng4 bench; stool
凳子 deng4zi5 stool; small seat
板凳 ban3deng4 wooden bench or stool
长凳 chang2deng4 pew; bench"
敛 lian3 裣蔹脸琏 "佥 qian1, 人 ren2, 乂 yi4" 3042 "收敛 内敛 敛财" "敛 lian3 to hold back; to restrain; to control (oneself); to collect
收敛 shou1lian3 to dwindle; to vanish; to make vanish; to exercise restraint; to curb (one's mirth, arrogance etc); to astringe; (math.) to converge
内敛 nei4lian3 introverted; reserved; (artistic style) understated
敛财 lian3cai2 to accumulate wealth; to rake in money"
涤 di2 蹢嫡𬱖觌笛敌籴迪 "条 tiao2, 小 xiao3, 八 ba1" 3043 洗涤 "涤 di2 to wash; to cleanse
洗涤 xi3di2 to rinse; to wash; washing"
醋 cu4 猝蹙蔟蹴簇促 "昔 xi1, 西 xi1, 儿 er2, 囗 wei2, 日 ri4, 卄 nian4, 十 shi2" 3044 "吃醋 糖醋 醋意" "醋 cu4 vinegar; jealousy (in love rivalry)
吃醋 chi1cu4 to feel jealous
糖醋 tang2cu4 sweet and sour
醋意 cu4yi4 jealousy (in love rivalry)"
垛 duo3 哚埵亸躲朵 "土 tu3, 朵 duo3, 十 shi2, 木 mu4" 3045  "垛 duo3 battlement; target"
栓 shuan1 闩拴 "木 mu4, 全 quan2, 十 shi2, 人 ren2, 王 wang2, 土 tu3" 3046  "栓 shuan1 bottle stopper; plug; (gun) bolt; (grenade) pin"
尕 ga3  "乃 nai3, 小 xiao3, 八 ba1" 3047  "尕 ga3 little (dialect)"
畴 chou2 雠酬愁绸惆筹帱俦 "田 tian2, 寿 shou4, 囗 wei2, 十 shi2, 三 san1, 寸 cun4, 二 er4" 3048 范畴 "畴 chou2 arable fields; cultivated field; class; category
范畴 fan4chou2 category"
芹 qin2 秦勤琴噙嗪禽檎慬 "斤 jin1, 十 shi2" 3049 芹菜 "芹 qin2 chinese celery
芹菜 qin2cai4 celery (apium graveolens)"
遮 zhe1 蜇 "辶 chuo4, 庶 shu4, 广 guang3, 廿 nian4, 厂 chang3, 卄 nian4, 十 shi2" 3050 "遮住 遮掩 遮挡 遮盖" "遮 zhe1 to cover up (a shortcoming); to screen off; to hide; to conceal
遮住 zhe1zhu4 to cover (up); to block; to obstruct; to shade
遮掩 zhe1yan3 to cover; to mask; to cover up or conceal (the truth etc)
遮挡 zhe1dang3 to shelter; to shelter from
遮盖 zhe1gai4 to hide; to cover (one's tracks)"
戍 shu4 隃𬬸沭述澍墅恕束 "戊 wu4, 戈 ge1, 弋 yi4" 3051  "戍 shu4 garrison"
绉 zhou4 酎㤘㑇胄皱昼纣咒 "刍 chu2" 3052  "绉 zhou4 crepe; wrinkle"
睐 lai4 赖赉癞濑籁 "目 mu4, 来 lai2, 囗 wei2, 未 wei4, 木 mu4, 十 shi2" 3053 青睐 "睐 lai4 to glance; to look askance at
青睐 qing1lai4 (lit.) to fix one's gaze on; (fig.) to show interest in; (favorable) attention; favor"
罐 guan4 惯鹳祼涫掼灌盥贯 "缶 fou3, 雚 guan4, 凵 kan3, 十 shi2" 3054 "罐头 罐子" "罐 guan4 can; jar; pot
罐头 guan4tou5 tin; can
罐子 guan4zi5 jar; pitcher; pot"
杵 chu3 础濋楚储褚楮𬺓 "木 mu4, 十 shi2" 3055  "杵 chu3 pestle; to poke"
茵 yin1 阴堙𬤇洇喑荫𬘡铟 "因 yin1, 十 shi2, 囗 wei2, 大 da4, 人 ren2" 3056 绿茵 "茵 yin1 mattress
绿茵 lü45yin1 grassy area"
咎 jiu4 旧鹫救臼舅疚桕㠇 "处 chu4, 口 kou3, 卜 bu3" 3057  "咎 jiu4 fault; to blame; to punish; calamity; misfortune"
沥 li4 隶傈浰吏励历猁丽 "历 li4, 厂 chang3, 力 li4" 3058 沥青 "沥 li4 to drip; to strain or filter; a trickle
沥青 li4qing1 asphalt; bitumen; pitch"
朦 meng2 𫑡盟瞢蒙礞甍檬幪 "月 yue4, 蒙 meng2, 十 shi2, 豕 shi3" 3059 朦胧 "朦 meng2 indistinct; unclear; to deceive
朦胧 meng2long2 hazy"
浒 hu3 虎琥唬 "许 xu3, 十 shi2" 3060 水浒 "浒 hu3 bank of a river
水浒 shui3hu3 edge of the water; shore or sea, lake or river; seashore"
膝 xi1 溪窸熄暿夕奚惜肸 "木 mu4, 十 shi2, 八 ba1" 3061 "膝盖 双膝 膝下" "膝 xi1 knee
膝盖 xi1gai4 knee; (internet slang) to kneel down (in admiration)
双膝 shuang1xi1 both knees
膝下 xi1xia4 at the knee (in reference to children); (salutation used in letters to parents or grandparents)"
熏 xun1 醺曛勋薰獯埙𫄸  3062 "熏陶 烟熏" "熏 xun1 to smoke; to fumigate; to assail the nostrils; to perfume; fragrance; warm; to educate; to smoke; to fumigate
熏陶 xun1tao2 to seep in; to influence; to nurture; influence; training
烟熏 yan1xun1 smoke; to fumigate"
蛛 zhu1 洙株诛侏邾朱珠铢 "虫 chong2, 朱 zhu1, 中 zhong1, 口 kou3, 未 wei4, 木 mu4, 十 shi2" 3063 "蜘蛛 蛛网" "蛛 zhu1 spider
蜘蛛 zhi1zhu1 spider
蛛网 zhu1wang3 spider web; cobweb"
捋 lü3 褛履屡侣旅梠稆铝 "寸 cun4" 3064  "捋 lü3 to smooth or arrange sth using one's fingers; to stroke"
捶 chui2 圌倕棰槌锤陲垂 "垂 chui2" 3065 捶打 "捶 chui2 to beat with the fist; to hammer; to cudgel
捶打 chui2da3 to beat; to pound; to thump"
瓮 weng4 蕹 "公 gong1, 瓦 wa3, 八 ba1" 3066  "瓮 weng4 earthen jar; urn; pottery container for water, wine etc"
涡 wo1 莴挝踒窝倭蜗喔 "呙 wai1, 口 kou3, 内 nei4, 人 ren2" 3067 "漩涡 旋涡 涡轮" "涡 guo1 name of a river
漩涡 xuan2wo1 whirlpool; eddy; vortex; (fig.) maelstrom
旋涡 xuan2wo1 spiral; whirlpool; eddy; vortex
涡轮 wo1lun2 turbine"
羌 qiang1 锖戗镪戕锵蜣枪玱  3068  "羌 qiang1 qiang ethnic group of northwestern sichuan; muntjac"
蹦 beng4 甏泵镚迸 "崩 beng1, 口 kou3, 止 zhi3, 山 shan1, 朋 peng2, 凵 kan3, 月 yue4" 3069 蹦跳 "蹦 beng4 to jump; to bounce; to hop
蹦跳 beng4tiao4 to hop; to jump"
怆 chuang4 创 "仓 cang1, 卜 bu3, 人 ren2" 3070 悲怆 "怆 chuang4 mournful; sad; grieved; sorry
悲怆 bei1chuang4 sorrow; tragic"
菁 jing1 经䴖腈荆睛兢鲸猄 "青 qing1, 十 shi2, 月 yue4, 土 tu3" 3071  "菁 jing1 leek flower; lush; luxuriant"
峦 luan2 滦脔娈栾孪銮鸾挛 "山 shan1, 凵 kan3" 3072 "山峦 峰峦" "峦 luan2 mountain ranges
山峦 shan1luan2 mountain range; unbroken chain of peaks
峰峦 feng1luan2 peaks and ridges; ragged outline of mountain peaks"
琐 suo3 所锁索溹唢 "十 shi2, 贝 bei4, 人 ren2" 3073 "琐碎 琐事 繁琐 猥琐" "琐 suo3 fragmentary; trifling
琐碎 suo3sui4 trifling; trivial; tedious; inconsequential
琐事 suo3shi4 trifle
繁琐 fan2suo3 many and complicated; mired in minor details
猥琐 wei3suo3 wretched (esp. appearance); vulgar"
冽 lie4 䴕猎脟鬣趔躐劣列 "列 lie4, 歹 dai3, 夕 xi1" 3074 凛冽 "冽 lie4 cold and raw
凛冽 lin3lie4 biting cold"
沏 qi1 凄郪萋期柒桤嘁栖 "切 qie4, 七 qi1, 刀 dao1" 3075  "沏 qi1 to steep (tea)"
喧 xuan1 愃轩暄谖咺萱瑄宣 "口 kou3, 宣 xuan1, 亘 gen4, 旦 dan4, 日 ri4, 囗 wei2" 3076 "喧嚣 喧闹 喧哗" "喧 xuan1 clamor; noise
喧嚣 xuan1xiao1 to clamor; to make noise
喧闹 xuan1nao4 to make a noise; noisy
喧哗 xuan1hua2 hubbub; clamor; to make a racket"
浼 mei3 美渼每镁媄 "免 mian3, 口 kou3" 3077  "浼 mei3 to ask a favor of"
爿 pan2 磻磐盘蹒蟠槃  3078  "爿 pan2 classifier for strips of land or bamboo, shops, factories etc; slit bamboo or chopped wood (dialect)"
圩 wei2 潍闱帷惟嵬洈峗唯 "土 tu3, 于 yu2, 十 shi2" 3079  "圩 wei2 dike"
怦 peng1 砰抨嘭烹 "平 ping2, 卜 bu3, 干 gan4, 十 shi2" 3080 怦怦 "怦 peng1 impulsive
怦怦 peng1peng1 to be eager and anxious (to do sth); faithful and upright"
唏 xi1 吸粞傒饻舾兮菥希 "口 kou3, 希 xi1, 布 bu4, 巾 jin1" 3081 唏嘘 "唏 xi1 sound of sobbing
唏嘘 xi1xu1 to sob"
卅 sa4 飒脎萨 "川 chuan1" 3082  "卅 sa4 thirty"
吠 fei4 沸芾痱狒肺镄剕废 "口 kou3, 犬 quan3, 大 da4, 人 ren2" 3083 "狂吠 狗吠" "吠 fei4 to bark
狂吠 kuang2fei4 to bark furiously; to howl
狗吠 gou3fei4 bark; to bark"
倪 ni2 鲵泥尼坭𫐐伲猊麑 "臼 jiu4, 儿 er2" 3084 端倪 "倪 ni2 (literary) small child; limit; bound; extremity; to differentiate; origin; cause
端倪 duan1ni2 boundary; clue; indication; to obtain clues; to infer"
璇 xuan2 痃玄漩玹旋暶悬𫠊 "旋 xuan2, 十 shi2, 疋 shu1, 方 fang1, 万 wan4, 人 ren2" 3085  "璇 xuan2 (jade)"
盅 zhong1 螽钟忠锺中终柊舯 "中 zhong1, 皿 min3, 口 kou3" 3086  "盅 zhong1 handleless cup; goblet"
咖 ga1 伽嘎旮戛 "口 kou3, 加 jia1, 力 li4" 3087  "咖 ka1 coffee; class; grade"
屡 lü3 缕褛旅梠铝膂侣履 "尸 shi1, 娄 lou2, 米 mi3, 女 nü3, 木 mu4, 十 shi2" 3088 "屡屡 屡次" "屡 lü3 time and again; repeatedly; frequently
屡屡 lü3lü3 again and again; repeatedly
屡次 lü3ci4 repeatedly; time and again"
炊 chui1 吹 "火 huo3, 欠 qian4, 人 ren2" 3089 "炊烟 炊具" "炊 chui1 to cook food
炊烟 chui1yan1 smoke from kitchen chimneys
炊具 chui1ju4 cooking utensils; cookware; cooker"
烨 ye4 邺腋叶夜谒馌晔页 "火 huo3, 华 hua1, 人 ren2, 化 hua4, 十 shi2" 3090  "烨 ye4 blaze of fire; glorious"
昕 xin1 炘忻鑫薪𫷷䜣芯锌 "日 ri4, 斤 jin1, 囗 wei2" 3091  "昕 xin1 dawn"
寇 kou4 蔻筘扣叩 "元 yuan2, 攴 pu1, 兀 wu4, 儿 er2, 又 you4" 3092  "寇 kou4 to invade; to plunder; bandit; foe; enemy"
匝 za1 咂拶臜 "巾 jin1" 3093  "匝 za1 to go around; to encircle; classifier for a full circuit or a turn of a coil"
怠 dai4 代贷轪垈骀埭黛绐 "台 tai2, 心 xin1, 口 kou3" 3094 "怠慢 懈怠 倦怠" "怠 dai4 idle; lazy; negligent; careless
怠慢 dai4man4 to slight; to neglect
懈怠 xie4dai4 slack; lazy; remiss
倦怠 juan4dai4 worn out; exhausted; dispirited"
撰 zhuan4 赚馔瑑僎啭篆 "巽 xun4, 共 gong4, 八 ba1, 卄 nian4, 十 shi2" 3095 "撰写 撰文 杜撰 编撰" "撰 zhuan4 to compose; to compile
撰写 zhuan4xie3 to write; to compose
撰文 zhuan4wen2 to write an article
杜撰 du4zhuan4 to fabricate; to make sth up; invented
编撰 bian1zhuan4 to compile; to edit"
姗 shan1 钐杉舢埏衫烻潸山 "女 nü3, 册 ce4" 3096 姗姗 "姗 shan1 to deprecate; lithe (of a woman's walk); leisurely; slow
姗姗 shan1shan1 unhurried; leisurely"
堤 di1 滴氐鞮羝䃅镝低 "土 tu3, 是 shi4, 十 shi2, 日 ri4, 囗 wei2, 人 ren2" 3097 "堤岸 决堤 堤坝 堤防" "堤 di1 dike
堤岸 di1an4 embankment; bank; levee
决堤 jue2di1 (of a watercourse) to breach its dike; (of dikes) to collapse
堤坝 di1ba4 dam; dike
堤防 di1fang2 dike; embankment; levee"
泾 jing1 惊荆鲸京晶茎鼱精 "工 gong1" 3098  "泾 jing1 jing river"
舵 duo4 堕饳剁驮惰跺 "舟 zhou1, 它 ta1, 匕 bi3" 3099 舵手 "舵 duo4 helm; rudder
舵手 duo4shou3 helmsman"
釜 fu3 辅斧𫖯俯簠抚黼滏 "父 fu4, 王 wang2, 八 ba1, 乂 yi4, 土 tu3, 十 shi2" 3100  "釜 fu3 kettle; cauldron"
舀 yao3 窈窅杳咬 "臼 jiu4" 3101  "舀 yao3 to ladle out; to scoop up"
垢 gou4 够彀诟雊觏构购姤 "土 tu3, 后 hou4, 十 shi2, 口 kou3" 3102 污垢 "垢 gou4 dirt; disgrace
污垢 wu1gou4 dirt; filth; grime; filth"
喉 hou2 𬭤瘊糇猴篌骺侯 "口 kou3, 侯 hou2, 矢 shi3, 大 da4, 人 ren2" 3103 "咽喉 喉头 歌喉 喉舌" "喉 hou2 throat; larynx
咽喉 yan1hou2 throat
喉头 hou2tou2 throat; larynx
歌喉 ge1hou2 singing voice
喉舌 hou2she2 mouthpiece; spokesperson"
珀 po4 迫粕破魄 "白 bai2, 十 shi2, 日 ri4, 囗 wei2" 3104 琥珀 "珀 po4 amber
琥珀 hu3po4 amber"
铸 zhu4 注祝疰翥助箸筑柷 "寿 shou4, 二 er4, 三 san1, 寸 cun4" 3105 "铸造 铸成 铸就" "铸 zhu4 to cast or found metals
铸造 zhu4zao4 to cast (pour metal into a mold)
铸成 zhu4cheng2 to cast in metal; (fig.) to forge; to fashion
铸就 zhu4jiu4 to cast; to forge; to form; to create"
孰 shu2 熟婌塾赎秫 "享 xiang3, 丸 wan2, 口 kou3, 子 zi5, 了 le5, 九 jiu3" 3106  "孰 shu2 who; which; what"
伢 ya2 衙岈蚜堐芽琊崖牙 "牙 ya2, 丁 ding1" 3107 伢子 "伢 ya2 (dialect) child
伢子 ya2zi5 (dialect) child"
耙 ba4 罢爸坝灞鲅霸 "耒 lei3, 巴 ba1, 未 wei4, 木 mu4, 十 shi2" 3108  "耙 ba4 a hoe; to harrow"
皓 hao4 颢浩灏昊鄗皞号淏 "白 bai2, 告 gao4, 日 ri4, 囗 wei2, 口 kou3" 3109  "皓 hao4 bright; luminous; white (esp. bright white teeth of youth or white hair of old age); spotlessly white"
粪 fen4 鲼偾瀵份奋愤忿坋 "米 mi3, 共 gong4, 木 mu4, 十 shi2, 八 ba1, 卄 nian4" 3110 "粪便 大粪 粪土 粪坑" "粪 fen4 manure; dung
粪便 fen4bian4 excrement; feces; night soil
大粪 da4fen4 human excrement; night soil (human manure traditionally used as agricultural fertilizer)
粪土 fen4tu3 dirty soil; dung and dirt; (fig.) worthless thing
粪坑 fen4keng1 latrine pit; cesspit"
淆 xiao2 洨崤 "肴 yao2, 有 you3, 月 yue4" 3111 混淆 "淆 xiao2 confused and disorderly; mixed
混淆 hun4xiao2 to obscure; to confuse; to mix up; to blur; to mislead"
虱 shi1 鸤酾诗鲺尸𫚕䴓施 "虫 chong2, 中 zhong1, 口 kou3" 3112 虱子 "虱 shi1 louse; louse
虱子 shi1zi5 louse (pediculus humanus)"
绰 chuo4 辍啜惙龊 "卓 zhuo2, 早 zao3, 日 ri4, 十 shi2, 囗 wei2" 3113 "绰号 阔绰" "绰 chao1 to grab; to snatch up
绰号 chuo4hao4 nickname
阔绰 kuo4chuo4 ostentatious; extravagant; liberal with money"
碍 ai4 瑷嫒艾暧隘爱嗌叆 "石 dan4, 口 kou3, 旦 dan4, 寸 cun4, 日 ri4, 囗 wei2" 3114 "阻碍 碍事" "碍 ai4 to hinder; to obstruct; to block
阻碍 zu3ai4 to obstruct; to hinder; to block; obstruction; hindrance
碍事 ai4shi4 to be in the way; to be a hindrance; (usu. in the negative) to be of consequence; to matter"
筹 chou2 愁惆俦雠仇稠酬椆 "寿 shou4, 三 san1, 寸 cun4, 二 er4" 3115 "筹备 统筹 筹集 筹建" "筹 chou2 chip (in gambling); token (for counting); ticket; to prepare; to plan; to raise (funds); resource; way; means
筹备 chou2bei4 preparations; to get ready for sth
统筹 tong3chou2 an overall plan; to plan an entire project as a whole
筹集 chou2ji2 to collect money; to raise funds
筹建 chou2jian4 to prepare to build sth"
霸 ba4 爸罢耙灞坝鲅 "革 ge2, 月 yue4" 3116 "霸道 霸王 霸占 霸权" "霸 ba4 hegemon; tyrant; lord; feudal chief; to rule by force; to usurp; (in modern advertising) master
霸道 ba4dao4 the way of the hegemon; despotic rule; rule by might; overbearing; tyranny; (of liquor, medicine etc) strong; potent
霸王 ba4wang2 hegemon; overlord; despot
霸占 ba4zhan4 to occupy by force; to seize; to dominate
霸权 ba4quan2 hegemony; supremacy"
邢 xing2 硎型铏陉𫰛刑行饧 "开 kai1, 廾 gong3, 十 shi2" 3117 邢台 "邢 xing2 place name
邢台 xing2tai2 xingtai, prefecture-level city in hebei; also xingtai county"
淀 dian4 垫坫殿店钿惦琔甸 "定 ding4, 人 ren2" 3118 "沉淀 淀粉 积淀" "淀 dian4 shallow water; sediment; precipitate
沉淀 chen2dian4 to settle; to precipitate (solid sediment out of a solution)
淀粉 dian4fen3 starch; amylum (c6h10o5)n
积淀 ji1dian4 deposits accumulated over long periods; fig. valuable experience, accumulated wisdom"
峭 qiao4 翘鞘撬诮俏窍 "山 shan1, 肖 xiao4, 凵 kan3, 月 yue4" 3119 "陡峭 峭壁" "峭 qiao4 high and steep; precipitous; severe or stern
陡峭 dou3qiao4 precipitous
峭壁 qiao4bi4 cliff; steep; precipice"
佰 bai3 摆柏捭百 "百 bai3, 白 bai2, 日 ri4, 囗 wei2" 3120  "佰 bai3 hundred (banker's anti-fraud numeral)"
枢 shu1 抒殊鄃书纾叔疏淑 "木 mu4, 区 qu1, 十 shi2" 3121 "枢纽 中枢" "枢 shu1 (bound form) hinge; pivot (usu. fig.)
枢纽 shu1niu3 hub (e.g. of traffic network); hinge; pivot; fulcrum
中枢 zhong1shu1 center; hub; the central administration"
汾 fen2 坟𣸣鼢棼豮焚 "分 fen1, 八 ba1, 刀 dao1" 3122  "汾 fen2 name of a river"
洼 wa1 娲哇畖蛙挖窊 "土 tu3, 十 shi2" 3123 "洼地 低洼" "洼 wa1 depression; sunken; swamp
洼地 wa1di4 depression; low-lying ground
低洼 di1wa1 low-lying"
耘 yun2 筼云纭沄昀鋆郧匀 "耒 lei3, 云 yun2, 未 wei4, 木 mu4, 十 shi2, 二 er4" 3124 耕耘 "耘 yun2 to weed
耕耘 geng1yun2 plowing and weeding; farm work; fig. to work or study diligently"
暧 ai4 隘瑷碍嗌艾叆嫒爱 "日 ri4, 爱 ai4, 囗 wei2, 友 you3, 又 you4" 3125 暧昧 "暧 ai4 (of daylight) dim; obscure; clandestine; dubious
暧昧 ai4mei4 vague; ambiguous; equivocal; dubious"
缚 fu4 负副妇附赙赋阜复 "尃 fu1, 甫 fu3, 寸 cun4" 3126 束缚 "缚 fu4 to bind; to tie
束缚 shu4fu4 to bind; to restrict; to tie; to commit; fetters"
涟 lian2 镰梿怜联帘廉莲连 "连 lian2, 辶 chuo4, 车 che1, 十 shi2" 3127 涟漪 "涟 lian2 ripple; tearful
涟漪 lian2yi1 ripple"
佯 yang2 烊垟蛘徉阳玚钖羊 "羊 yang2, 二 er4" 3128 佯装 "佯 yang2 to feign; to pretend
佯装 yang2zhuang1 to pretend; to pose as"
潭 tan2 坛痰榃磹谭檀郯昙 "覃 tan2, 早 zao3, 口 kou3, 日 ri4, 十 shi2, 囗 wei2" 3129 "湘潭 泥潭 龙潭 潭水" "潭 tan2 deep pool; pond; pit (dialect); depression
湘潭 xiang1tan2 xiangtan, prefecture-level city in hunan
泥潭 ni2tan2 quagmire
龙潭 long2tan2 dragon pool; dragon pond
潭水 tan2shui3 deep water"
鼎 ding3 顶 "目 mu4, 爿 pan2, 片 pian4, 囗 wei2" 3130 鼎盛 "鼎 ding3 pot (dialect); kangxi radical 206; one of the 64 hexagrams of the book of changes
鼎盛 ding3sheng4 thriving; flourishing"
炽 chi4 啻叱瘛赤敕斥翅彳 "火 huo3, 只 zhi3, 人 ren2, 口 kou3, 八 ba1" 3131 "炽热 炽烈" "炽 chi4 to burn; to blaze; splendid; illustrious
炽热 chi4re4 red-hot; glowing; blazing; (fig.) passionate
炽烈 chi4lie4 burning fiercely; flaming; blazing"
槽 cao2 曹螬漕𥕢嘈艚 "木 mu4, 曹 cao2, 十 shi2, 曲 qu1, 曰 yue1, 囗 wei2" 3132 "跳槽 水槽" "槽 cao2 trough; manger; groove; channel
跳槽 tiao4cao2 to change jobs; job-hopping
水槽 shui3cao2 sink"
衅 xin4 信囟 "血 xue4, 半 ban4, 皿 min3, 二 er4" 3133 挑衅 "衅 xin4 quarrel; dispute; a blood sacrifice (arch.)
挑衅 tiao3xin4 to provoke; provocation"
弋 yi4 绎峄杙廙易乂镱意  3134 游弋 "弋 yi4 to shoot
游弋 you2yi4 (of a naval vessel) to cruise; to patrol; (of ducks, boats etc) to move about on a lake or river etc"
嘻 xi1 郗釐汐惜晰醯饻悉 "口 kou3, 喜 xi3, 十 shi2, 豆 dou4" 3135 嘻嘻 "嘻 xi1 laugh; giggle; (interjection expressing admiration, surprise etc); (interjection expressing surprise, grief etc)
嘻嘻 xi1xi1 hee hee; happy"
狙 ju1 𬶋裾泃砠居鞫鞠岨 "且 qie3" 3136 狙击 "狙 ju1 macaque; to spy; to lie in ambush
狙击 ju1ji1 to snipe (shoot from hiding)"
泓 hong2 𬭎谼𫟹鸿纮虹玒荭 "弘 hong2, 弓 gong1" 3137  "泓 hong2 clear; vast and deep; classifier for a body of clear water"
臾 yu2 鱼艅愚邘雩舁揄觎 "臼 jiu4, 人 ren2" 3138 须臾 "臾 yu2 a moment; little while
须臾 xu1yu2 in a flash; in a jiffy"
吒 zha1 哳楂齇扎挓揸渣奓 "口 kou3, 七 qi1" 3139  "哪吒 ne2zha1 nezha, protection deity"
玟 wen2 蚊阌炆芠纹雯闻𫘜 "文 wen2, 十 shi2, 乂 yi4" 3140  "玟 min2 jade-like stone"
栗 li4 荔栎例浰笠郦凓溧 "木 mu4, 口 kou3, 十 shi2" 3141 "栗子 战栗 板栗 栗色" "栗 li4 (literary) cold; chilly; (bound form) to tremble with fear; chestnut
栗子 li4zi5 chestnut
战栗 zhan4li4 to tremble; shudder
板栗 ban3li4 chinese chestnut
栗色 li4se4 maroon (color)"
呱 gu1 蛄蓇觚酤菇估菰孤 "口 kou3, 瓜 gua1" 3142  "呱 gu1 crying sound of child"
鸠 jiu1 纠啾阄揪赳鬏究 "九 jiu3, 鸟 niao3, 乌 wu1, 马 ma3" 3143  "鸠 jiu1 turtledove; (literary) to gather"
茬 cha2 查茶檫垞槎猹搽𥻗 "在 zai4, 十 shi2, 土 tu3" 3144 话茬 "茬 cha2 stubble land after crop has been taken; a second crop obtained by rotation of land; an opportunity
话茬 hua4cha2 tone of voice; topic; subject under discussion"
珈 jia1 嘉葭迦笳枷袈𬂩跏 "加 jia1, 十 shi2, 力 li4, 口 kou3" 3145 瑜珈 "珈 jia1 gamma; jewelry
瑜珈 yu2jia1 yoga"
扪 men2 钔𫞩门 "门 men2" 3146  "扪 men2 lay hands on; to cover"
袅 niao3 茑鸟 "鸟 niao3, 衣 yi1, 乌 wu1, 马 ma3" 3147 袅袅 "袅 niao3 delicate; graceful; delicate; graceful; delicate; graceful
袅袅 niao3niao3 rising in spirals"
毡 zhan1 沾谵鹯栴鳣瞻粘旃 "毛 mao2, 占 zhan4, 二 er4, 口 kou3" 3148  "毡 zhan1 felt (fabric)"
董 dong3 懂 "重 zhong4, 十 shi2, 千 qian1, 里 li3, 田 tian2, 土 tu3, 囗 wei2" 3149 "董事 古董" "董 dong3 to supervise; to direct; director
董事 dong3shi4 board member
古董 gu3dong3 curio; antique"
蚕 can2 残惭 "天 tian1, 虫 chong2, 大 da4, 人 ren2, 中 zhong1, 口 kou3" 3150 "蚕豆 蚕食 蚕丝" "蚕 can2 silkworm
蚕豆 can2dou4 broad bean (vicia faba); fava bean
蚕食 can2shi2 (lit. and fig.) to nibble away at
蚕丝 can2si1 natural silk (secreted by silkworm)"
迥 jiong3 泂䌹窘炯冏颎 "辶 chuo4, 口 kou3" 3151 迥异 "迥 jiong3 distant
迥异 jiong3yi4 totally different"
哝 nong2 浓农𬪩秾脓侬 "口 kou3, 农 nong2" 3152 "咕哝 嘟哝" "哝 nong2 garrulous
咕哝 gu1nong5 to murmur; to mumble; to grumble; to mutter
嘟哝 du1nong5 to mutter; to mumble complaints; to grumble"
